sentence	pictos_ref_ids	sense_keys
tandis que bellina pose les couvertures au dessus abel s'applique à les tendre aux pieds de la table pour former des murs bien droits	[[], [], [2484], [6989], [7031], [2459], [11709], [5451], [2485], [6190], [24863], [7041], [7031], [6989], [11709], [], [7074], [7029], [3129], [7194], [6190], [36781], [2860], [5397], []]	[[], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], ['blanket%1:06:00::', 'cover%1:06:01::'], [], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['attend%2:39:00::', 'pay_heed%2:39:00::', 'give_ear%2:39:00::', 'listen%2:39:01::', 'hang%2:39:00::', 'advert%2:39:00::', 'take_heed%2:39:00::', 'hear%2:39:05::'], [], [], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], [], [], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], [], ['wall%1:06:00::'], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], []]
en effet à peine se sont ils assis dans leur cabane que les couvertures glissent et tombent par terre	[[], [], [], [], [], [7032], [5465], [2801], [7034], [], [8049], [10276], [7031], [2459], [7016], [11399], [2675], [7074], [3160]]	[[], [], [], [], [], [], ['be%2:42:05::'], ['sit_down%2:38:00::', 'sit%2:38:00::', 'sit%2:35:00::', 'sit_down%2:35:03::'], [], [], ['cabin%1:06:02::'], [], [], ['blanket%1:06:00::', 'cover%1:06:01::'], ['descend%2:38:00::', 'fall%2:38:00::', 'come_down%2:38:00::', 'slide%2:38:00::', 'go_down%2:38:02::', 'slither%2:38:00::'], [], ['fall%2:38:03::'], [], ['soil%1:27:01::', 'ground%1:17:01::', 'soil%1:17:00::', 'dirt%1:27:01::', 'land%1:17:01::']]
oh regarde bellina notre cabane s'envole crie abel tout déconfit	[[], [2474], [2484], [12268], [8049], [], [8210], [4686], [2485], [5596], [2606]]	[[], ['observe%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], [], ['cabin%1:06:02::'], [], ['hold_up%2:40:00::', 'robbery%1:04:00::', 'rip_off%2:40:00::', 'steal%2:40:00::', 'rip%2:40:00::', 'stick_up%2:40:00::'], ['cry%2:32:01::', 'scream%2:32:01::', 'yell%2:32:01::', 'call%2:32:09::', 'holler%2:32:05::', 'shout%2:32:01::', 'squall%2:32:00::', 'shout_out%2:32:00::', 'hollo%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], ['low-spirited%5:00:00:dejected:00', 'grim%5:00:00:dejected:00', 'gloomy%5:00:00:dejected:00', 'blue%5:00:00:dejected:00', 'dispirited%5:00:00:dejected:00', 'downhearted%5:00:00:dejected:00', 'dysphoric%3:00:00::', 'low%5:00:00:dejected:00', 'sad%3:00:00::', 'down%5:00:00:dejected:00', 'downcast%5:00:00:dejected:00', 'down_in_the_mouth%5:00:00:dejected:00', 'distressed%3:00:04::', 'depressed%5:00:00:dejected:00', 'unhappy%3:00:00::', 'unhappy%3:00:04::']]
de ce côté ci aussi abel notre cabane est déjà cassée	[[7074], [], [3369], [], [], [2485], [12268], [8049], [5465], [], [4736]]	[[], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::'], [], [], ['boy%1:18:00::', 'male_child%1:18:00::'], [], ['cabin%1:06:02::'], ['be%2:42:05::'], [], ['broken%3:00:01::']]
abel et bellina réfléchissent longuement devant leur cabane détruite	[[2485], [11399], [2484], [8661], [37678], [5438], [], [8049], [4736]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], ['age%1:28:03::', 'time%1:03:00::', 'years%1:28:01::', 'long_time%1:28:00::', 'long%4:02:00::'], ['ahead%4:02:00::', 'before%4:02:01::', 'in_front%4:02:00::'], [], ['cabin%1:06:02::'], ['broken%3:00:01::']]
les couvertures sont trop légères et glissent de la table dit bellina	[[8476], [2459], [5465], [25708], [4679], [11399], [7016], [7074], [7029], [3129], [5973], [2484]]	[[], ['blanket%1:06:00::', 'cover%1:06:01::'], ['be%2:42:05::'], ['real%4:02:01::', 'rattling%4:02:00::', 'very%4:02:00::', 'really%4:02:00::'], ['light%3:00:01::'], [], ['descend%2:38:00::', 'fall%2:38:00::', 'come_down%2:38:00::', 'slide%2:38:00::', 'go_down%2:38:02::', 'slither%2:38:00::'], [], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
il faut trouver une solution pour les maintenir	[[], [15523], [6531], [], [], [7194], [7031], []]	[[], ['obligation%1:04:00::', 'responsibility%1:04:00::', 'duty%1:04:00::'], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], [], [], [], [], []]
comment pourrions nous faire 	[[12313], [11750], [7183], [6190]]	[[], [], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::']]
j'ai une super idée dit abel attends moi ici je reviens tout de suite	[[2617], [7271], [8474], [], [11599], [5973], [2485], [8109], [], [5382], [2617], [6248], [7818], [], []]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], [], ['grand%5:00:00:extraordinary:00', 'bully%5:00:00:good:01', 'o.k.%5:00:00:satisfactory:00', 'terrific%5:00:00:extraordinary:00', 'fine%5:00:00:satisfactory:00', 'cracking%5:00:00:good:01', 'wonderful%5:00:00:extraordinary:00', 'great%5:00:00:good:01', 'slap-up%5:00:00:good:01', 'dandy%5:00:00:good:01', 'keen%5:00:00:good:01', 'rattling%5:00:00:extraordinary:00', 'ok%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'successful%3:00:00::', 'tremendous%5:00:00:extraordinary:00', 'cool%5:00:00:satisfactory:00', 'marvelous%5:00:00:extraordinary:00', 'smashing%5:00:00:good:01', 'groovy%5:00:00:good:01', 'wondrous%5:00:00:extraordinary:00', 'corking%5:00:00:good:01', 'okay%5:00:00:satisfactory:00', 'howling%5:00:00:extraordinary:00', 'all_right%5:00:00:satisfactory:00', 'nifty%5:00:00:good:01', 'bang-up%5:00:00:good:01', 'fantastic%5:00:00:extraordinary:00', 'neat%5:00:00:good:01', 'not_bad%5:00:00:good:01', 'marvellous%5:00:00:extraordinary:00', 'swell%5:00:00:good:01', 'old%5:00:00:good:01', 'peachy%5:00:00:good:01'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['wait%2:42:00::'], [], ['knuckleball%1:04:00::', 'here%4:02:01::', 'knuckler%1:04:00::', 'hither%4:02:00::', 'here%4:02:00::'], [], ['bring_back%2:38:00::', 'turn%1:04:02::', 'take_back%2:38:03::', 'return%2:38:00::', 'turn%2:38:00::', 'return%2:38:12::'], [], [], []]
j'ai pris le gros vase de maman annonce t il triomphant	[[2617], [7271], [15469], [8476], [4656], [3271], [7074], [2458], [5973], [], [6480], [3245]]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['snap%2:35:00::', 'snatch%2:35:00::', 'snatch_up%2:35:00::', 'take%2:40:01::', 'snap_up%2:40:00::', 'snaffle%2:40:00::', 'grab%2:40:00::'], [], ['weighty%5:00:00:fat:01', 'fat%3:00:01::', 'chubby%5:00:00:fat:01', 'obese%5:00:00:fat:01', 'plump%5:00:00:fat:01', 'corpulent%5:00:00:fat:01', 'rotund%5:00:00:fat:01', 'embonpoint%5:00:00:fat:01'], ['vase%1:06:00::'], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], [], [], ['content%3:00:00::', 'happy%3:00:00::', 'contented%3:00:00::']]
il est assez lourd	[[3271], [5465], [], [27025]]	[['vase%1:06:00::'], ['be%2:42:05::'], [], ['heavy%3:00:01::']]
il suffit de le poser sur les couvertures pour ne plus qu'elles glissent	[[], [], [], [8476], [6989], [5451], [7031], [2459], [7194], [], [6526], [10276], [7030], []]	[[], [], [], [], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['blanket%1:06:00::', 'cover%1:06:01::'], [], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], [], []]
chouette idée hein 	[[11599], [8661], []]	[['grand%5:00:00:extraordinary:00', 'bully%5:00:00:good:01', 'o.k.%5:00:00:satisfactory:00', 'terrific%5:00:00:extraordinary:00', 'fine%5:00:00:satisfactory:00', 'cracking%5:00:00:good:01', 'wonderful%5:00:00:extraordinary:00', 'great%5:00:00:good:01', 'slap-up%5:00:00:good:01', 'dandy%5:00:00:good:01', 'keen%5:00:00:good:01', 'rattling%5:00:00:extraordinary:00', 'ok%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'successful%3:00:00::', 'tremendous%5:00:00:extraordinary:00', 'cool%5:00:00:satisfactory:00', 'marvelous%5:00:00:extraordinary:00', 'smashing%5:00:00:good:01', 'groovy%5:00:00:good:01', 'wondrous%5:00:00:extraordinary:00', 'corking%5:00:00:good:01', 'okay%5:00:00:satisfactory:00', 'howling%5:00:00:extraordinary:00', 'all_right%5:00:00:satisfactory:00', 'nifty%5:00:00:good:01', 'bang-up%5:00:00:good:01', 'fantastic%5:00:00:extraordinary:00', 'neat%5:00:00:good:01', 'not_bad%5:00:00:good:01', 'marvellous%5:00:00:extraordinary:00', 'swell%5:00:00:good:01', 'old%5:00:00:good:01', 'peachy%5:00:00:good:01'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], []]
abel réfléchis un peu	[[2485], [8661], [2627], [5546]]	[['boy%1:18:00::', 'male_child%1:18:00::'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00']]
si le vase tombe par terre il va se casser et maman sera très fâchée	[[], [8476], [3271], [2675], [7074], [3160], [3271], [2432], [], [3369], [11399], [2458], [5465], [25708], [28671]]	[[], [], ['vase%1:06:00::'], ['fall%2:38:03::'], [], ['soil%1:27:01::', 'ground%1:17:01::', 'soil%1:17:00::', 'dirt%1:27:01::', 'land%1:17:01::'], ['vase%1:06:00::'], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::'], [], ['mamma%1:18:00::', 'mother%1:18:00::', 'mommy%1:18:00::', 'mom%1:18:00::', 'mum%1:18:00::', 'female_parent%1:18:00::', 'mummy%1:18:00::', 'ma%1:18:00::', 'mama%1:18:00::', 'mammy%1:18:00::', 'momma%1:18:00::'], ['be%2:42:05::'], ['real%4:02:01::', 'rattling%4:02:00::', 'very%4:02:00::', 'really%4:02:00::'], ['organically%4:02:02::', 'annoyed%5:00:00:displeased:00', 'pissed_off%5:00:00:displeased:00', 'peeved%5:00:00:displeased:00', 'miffed%5:00:00:displeased:00', 'angered%5:00:00:angry:00', 'riled%5:00:00:displeased:00', 'steamed%5:00:00:displeased:00', 'enraged%5:00:00:angry:00', 'irritated%5:00:00:displeased:00', 'roiled%5:00:00:displeased:00', 'nettled%5:00:00:displeased:00', 'furious%5:00:00:angry:00', 'maddened%5:00:00:angry:00', 'stung%5:00:00:displeased:00', 'angry%3:00:00::', 'pissed%5:00:00:displeased:00', 'infuriated%5:00:00:angry:00']]
il faut utiliser autre chose qu'un vase pour coincer les couvertures	[[], [15523], [15485], [17054], [], [10276], [2627], [3271], [7194], [], [7031], [2459]]	[[], ['obligation%1:04:00::', 'responsibility%1:04:00::', 'duty%1:04:00::'], ['apply%2:34:00::', 'use%2:34:01::', 'utilize%2:34:00::', 'utilise%2:34:00::', 'employ%2:34:00::'], ['some_other%5:00:00:other:00', 'another%5:00:00:other:00', 'other%3:00:00::'], [], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['vase%1:06:00::'], [], [], [], ['blanket%1:06:00::', 'cover%1:06:01::']]
utilisons plutôt des livres	[[15485], [], [36781], [2450]]	[['apply%2:34:00::', 'use%2:34:01::', 'utilize%2:34:00::', 'utilise%2:34:00::', 'employ%2:34:00::'], [], [], ['book%1:10:00::']]
ca au moins ça ne casse pas dit bellina	[[6906], [11709], [5512], [6906], [], [3369], [6526], [5973], [2484]]	[[], [], ['less%4:02:01::', 'to_a_lesser_extent%4:02:00::', 'less%4:02:00::', 'fewer%3:00:00::', 'less%5:00:00:fewer:00'], [], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
abel et bellina reconstruisent leur cabane en posant des livres sur la table pour bien coincer les couvertures	[[2485], [11399], [2484], [2713], [], [8049], [11709], [6989], [36781], [2450], [5451], [7029], [3129], [7194], [5397], [], [7031], [2459]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], [], ['cabin%1:06:02::'], [], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], ['book%1:10:00::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], [], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], [], [], ['blanket%1:06:00::', 'cover%1:06:01::']]
regarde bellina dit abel tout fier j'ai agrandi la cabane en faisant passer la couverture sur la chaise	[[2474], [2484], [5973], [2485], [5596], [3245], [2617], [7271], [6920], [7029], [8049], [11709], [6190], [6989], [7029], [2459], [5451], [7029], [3155]]	[['observe%2:39:00::', 'consider%2:39:08::', 'look_at%2:39:01::', 'look%2:39:00::', 'view%2:39:00::', 'see%2:39:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], ['content%3:00:00::', 'happy%3:00:00::', 'contented%3:00:00::'], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['blow_up%2:30:00::', 'magnify%2:30:01::', 'enlarge%2:30:01::'], [], ['cabin%1:06:02::'], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], ['blanket%1:06:00::', 'cover%1:06:01::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['chair%1:06:00::', 'straight_chair%1:06:00::', 'side_chair%1:06:00::']]
et je l'ai attachée avec des pinces à linge	[[11399], [2617], [8476], [7271], [5391], [7064], [36781], [2790], [], []]	[[], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['tie_up%2:35:00::', 'knot%2:35:00::', 'truss%2:35:02::', 'bind%2:35:07::', 'tie_down%2:35:00::'], [], [], ['tongs%1:06:00::', 'pair_of_tongs%1:06:00::'], [], []]
c'est une bonne idée abel	[[], [5465], [8474], [5397], [8661], [2485]]	[[], ['be%2:42:05::'], [], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::'], ['boy%1:18:00::', 'male_child%1:18:00::']]
bravo répond bellina	[[11599], [9030], [2484]]	[['grand%5:00:00:extraordinary:00', 'bully%5:00:00:good:01', 'o.k.%5:00:00:satisfactory:00', 'terrific%5:00:00:extraordinary:00', 'fine%5:00:00:satisfactory:00', 'cracking%5:00:00:good:01', 'wonderful%5:00:00:extraordinary:00', 'great%5:00:00:good:01', 'slap-up%5:00:00:good:01', 'dandy%5:00:00:good:01', 'keen%5:00:00:good:01', 'rattling%5:00:00:extraordinary:00', 'ok%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'successful%3:00:00::', 'tremendous%5:00:00:extraordinary:00', 'cool%5:00:00:satisfactory:00', 'marvelous%5:00:00:extraordinary:00', 'smashing%5:00:00:good:01', 'groovy%5:00:00:good:01', 'wondrous%5:00:00:extraordinary:00', 'corking%5:00:00:good:01', 'okay%5:00:00:satisfactory:00', 'howling%5:00:00:extraordinary:00', 'all_right%5:00:00:satisfactory:00', 'nifty%5:00:00:good:01', 'bang-up%5:00:00:good:01', 'fantastic%5:00:00:extraordinary:00', 'neat%5:00:00:good:01', 'not_bad%5:00:00:good:01', 'marvellous%5:00:00:extraordinary:00', 'swell%5:00:00:good:01', 'old%5:00:00:good:01', 'peachy%5:00:00:good:01'], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::']]
cette fois les couvertures ne tombent plus grâce aux livres que bellina a posés sur la table et aux pinces à linge qu'abel a coincées au dossier de la chaise	[[], [], [7031], [2459], [], [2675], [6526], [11348], [], [2450], [10276], [2484], [7271], [6989], [5451], [7029], [3129], [11399], [11709], [2790], [], [], [10276], [2485], [7271], [6989], [], [2730], [], [7029], [3155]]	[[], [], [], ['blanket%1:06:00::', 'cover%1:06:01::'], [], ['fall%2:38:03::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], [], ['book%1:10:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], ['in_a_higher_place%4:02:00::', 'higher_up%4:02:00::', 'above%4:02:01::', 'to_a_higher_place%4:02:00::'], [], ['parsons_table%1:06:00::', 'table%1:06:01::'], [], [], ['tongs%1:06:00::', 'pair_of_tongs%1:06:00::'], [], [], [], ['boy%1:18:00::', 'male_child%1:18:00::'], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['set%2:35:00::', 'lay%2:35:01::', 'put%2:35:05::', 'put%2:35:00::', 'position%2:35:00::', 'pose%2:35:02::', 'place%2:35:00::'], [], ['ass%1:08:00::', 'arse%1:08:01::', 'seat%1:08:00::', 'tail%1:08:01::', 'behind%1:08:00::', 'keister%1:08:00::', 'fanny%1:08:00::', 'posterior%1:08:00::', 'backside%1:08:00::', 'buttock%1:08:00::', 'tush%1:08:00::', 'tail_end%1:08:00::', 'rear%1:08:00::', 'butt%1:08:00::', 'buttocks%1:08:00::', 'rump%1:08:00::', 'bum%1:08:00::', 'bottom%1:08:00::', 'can%1:08:00::', 'hindquarters%1:08:00::', 'hind_end%1:08:00::', 'fundament%1:08:00::', 'tooshie%1:08:00::', 'cheek%1:08:01::', 'buns%1:08:00::', 'prat%1:08:00::', 'rear_end%1:08:00::', 'stern%1:08:00::', 'derriere%1:08:00::', 'nates%1:08:00::'], [], [], ['chair%1:06:00::', 'straight_chair%1:06:00::', 'side_chair%1:06:00::']]
